id,name,released,rating,metacritic,playtime,platforms,genres,stores,tags,esrb_rating
860,Cave Story+,2010-03-21,3.95,83,2,"{""Nintendo Switch"",""Nintendo 3DS"",""Nintendo DS"",Wii,macOS,PC,Linux}","{Action,Adventure,Indie,Platformer}","{GOG,Steam,""Nintendo Store"",""App Store"",""Epic Games""}","{Singleplayer,""Steam Achievements"",""Great Soundtrack"",""Story Rich"",2D,Sci-fi,""Partial Controller Support"",Difficult,Exploration,Classic,""Pixel Graphics"",Controller,Retro,Dark,Anime,""Replay Value"",Cute,Mystery,Story,Metroidvania,Remake,Music,character,Epic,Soundtrack,weapons,explore,race,unique,match,memory,boss,fly,hd,rabbit,rush,village}",
862,DiRT 3,2011-05-23,3.67,87,2,"{""PlayStation 3"",""Xbox 360"",PC}","{Sports,Racing,Arcade}","{""PlayStation Store"",""Xbox 360 Store""}","{Physics,Driving,race,cars}",Teen
864,Keep Talking and Nobody Explodes,2015-10-07,4.2,67,3,"{""Xbox One"",PC,macOS,""Nintendo Switch"",""PlayStation 4"",Android}","{Simulation,Indie,Puzzle}","{""PlayStation Store"",Steam,""Xbox Store"",""Nintendo Store"",""Google Play""}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",Atmospheric,""Great Soundtrack"",Co-op,cooperative,First-Person,Funny,Difficult,""Local Co-Op"",""Local Multiplayer"",stats,""Steam Workshop"",""Family Friendly"",Team-Based,Fast-Paced,VR,party,""Board Game"",communication,""Asymmetric VR""}",Everyone 10+
875,Jagged Alliance 1: Gold Edition,1994-04-01,2.47,,1,"{macOS,PC,Linux}","{Action,RPG,Strategy}",{Steam},"{Singleplayer,Multiplayer,RPG,Classic,Tactical,Retro,Turn-Based,""Turn-Based Strategy"",""Turn-Based Tactics""}",
879,FIFA 17,2016-09-26,3.3,85,0,"{""PlayStation 3"",""Xbox 360"",PC,""Xbox One"",""PlayStation 4""}",{Sports},"{""PlayStation Store"",""Xbox Store"",""Xbox 360 Store""}","{Singleplayer,Multiplayer,e-sports,Football,Soccer,reality-based}",Everyone
881,Code Vein,2019-09-25,3.54,72,6,"{""Xbox One"",PC,""PlayStation 4""}","{Action,RPG}","{""PlayStation Store"",""Xbox Store"",Steam}","{Singleplayer,""Steam Achievements"",Multiplayer,RPG,Co-op,cooperative,""Third Person"",""Partial Controller Support"",""Online Co-Op"",Gore,Difficult,Violent,""Action RPG"",Anime,Nudity,""Hack and Slash"",""Character Customization"",""Dark Fantasy"",""Sexual Content"",JRPG,Souls-like,Vampire}",
888,Quake Live,2014-09-16,3.56,,1,"{Web,PC}",{Action},{Steam},"{Singleplayer,""Steam Achievements"",Multiplayer,""Steam Cloud"",steam-trading-cards,First-Person,""Partial Controller Support"",FPS,Funny,Difficult,Classic,Survival,stats,""Steam Workshop"",exclusive,Fast-Paced,Parkour,Competitive,""true exclusive"",""Cult Classic"",""Arena Shooter"",e-sports}",
891,Pixel Puzzles Ultimate,2016-09-08,1.99,,3,{PC},"{Casual,Indie,Puzzle}",{Steam},"{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",steam-trading-cards,""Steam Leaderboards"",""Free to Play"",stats}",
834,Inscryption,2021-10-18,4.4,86,8,"{""PlayStation 5"",Linux,PC,""Nintendo Switch"",""PlayStation 4"",macOS}","{Adventure,Strategy,Indie}","{""Nintendo Store"",Steam,GOG}","{Singleplayer,""Steam Achievements"",""Steam Cloud"",""Story Rich"",First-Person,2D,Horror,""Pixel Graphics"",Dark,""Point & Click"",Roguelike,3D,""Steam Trading Cards"",Roguelite,Surreal,""Card Game"",Psychological,Experimental,FMV,deckbuilding,""Card Battler""}",
838,Tomb Raider: Definitive Edition,2014-01-30,4.07,86,1,"{""PlayStation 4"",""Xbox One"",macOS,""Xbox 360"",""PlayStation 3"",PC}","{Action,Adventure}","{""PlayStation Store"",GOG}","{Multiplayer,Story,puzzles,Epic,fight,weapons,explore,island,history,escape}",Mature
843,Prince of Persia: The Two Thrones,2005-11-30,4.13,85,1,"{Wii,""PlayStation 3"",PC,""PlayStation 2"",PSP,""Classic Macintosh"",Xbox,GameCube}","{Action,Adventure}","{""PlayStation Store"",GOG,Steam}","{Singleplayer,Atmospheric,""Great Soundtrack"",""Story Rich"",""Third Person"",""Partial Controller Support"",Fantasy,Classic,Stealth,""Hack and Slash"",""controller support"",Parkour,""Time Travel"",""Time Manipulation""}",Mature
847,"Demon's Souls",2009-02-04,4.29,89,38,"{""PlayStation 3""}","{Action,RPG}","{""PlayStation Store""}","{exclusive,""true exclusive""}",Mature
858,Call of Duty,2003-10-28,4.17,91,5,"{""PlayStation 3"",""Xbox 360"",macOS,PC}",{Shooter},"{""PlayStation Store"",Steam,""Xbox 360 Store"",""App Store""}","{Singleplayer,Multiplayer,Atmospheric,""Story Rich"",First-Person,FPS,Classic,War,Historical,Military,Linear,""World War II"",America}",Teen
859,Punch Club,2016-01-06,3.65,73,5,"{""Xbox One"",Linux,Android,iOS,PC,macOS,""Nintendo Switch"",""Nintendo 3DS"",""PlayStation 4""}","{RPG,Strategy,Simulation,Sports,Fighting,Indie}","{""PlayStation Store"",""Xbox Store"",Steam,GOG,""Nintendo Store"",""App Store""}","{Singleplayer,""Steam Achievements"",""Steam Cloud"",Atmospheric,steam-trading-cards,""Great Soundtrack"",RPG,""Story Rich"",2D,Funny,Difficult,""Pixel Graphics"",Retro,role-playing,""Captions available"",Management,""2D Fighter""}",Teen
861,Crazy Taxi (1999),1998-12-31,3.83,82,1,"{""PlayStation 3"",""PlayStation 2"",""Xbox 360"",PC,iOS,Android,GameCube,Dreamcast}","{Action,Racing,Arcade}","{""PlayStation Store"",""App Store"",Steam,""Xbox 360 Store"",""Google Play""}","{Singleplayer,""Great Soundtrack"",""Open World"",""Partial Controller Support"",Classic,Driving}",Everyone
863,Stick Fight: The Game,2017-09-27,3.84,,2,"{macOS,Android,iOS,PC}","{Action,Casual,Indie}","{""Google Play"",""App Store"",Steam}","{Singleplayer,Multiplayer,cooperative,2D,""Partial Controller Support"",""Online multiplayer"",""Local Multiplayer""}",Everyone
874,Need for Speed: Most Wanted - A Criterion Game,2012-10-29,3.35,82,2,"{Android,""PS Vita"",""Wii U"",PC,iOS,""Xbox 360"",""PlayStation 3""}","{Racing,Arcade}","{Steam,""Xbox 360 Store"",""Nintendo Store"",""PlayStation Store"",""Google Play"",""App Store""}","{Singleplayer,Multiplayer,""Open World"",First-Person,""Third Person"",PvP,Competitive,""Online PvP"",""Steam Trading Cards"",Driving,""Vehicular Combat"",""Combat Racing"",""Automobile Sim"",""street racing""}",Teen
877,Kingdom Hearts III,2019-01-24,3.86,82,0,"{""Xbox One"",""PlayStation 4"",PC}","{Action,RPG}","{""Epic Games"",""Xbox Store"",""PlayStation Store""}","{Singleplayer,Atmospheric,Fantasy,Funny,Exploration,Action-Adventure,Anime,""3rd-Person Perspective"",JRPG,Cartoon,3rd-person,disney}",Everyone 10+
884,"King's Bounty: The Legend",2008-04-23,4.18,79,3,"{PC,macOS}","{RPG,Strategy}","{GOG,Steam,""Epic Games""}","{Singleplayer,""Steam Cloud"",Atmospheric,""Great Soundtrack"",RPG,""Open World"",Fantasy,Classic,Tactical,role-playing,Turn-Based,""Turn-Based Strategy"",""Turn-Based Combat"",""Tactical RPG"",""Hex Grid""}",Teen
887,The Turing Test,2016-08-29,3.58,74,4,"{""Nintendo Switch"",PC,""PlayStation 4"",""Xbox One""}",{Adventure},"{""PlayStation Store"",""Nintendo Store"",""Xbox Store"",Steam}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",Atmospheric,steam-trading-cards,""Great Soundtrack"",""Story Rich"",First-Person,Sci-fi,Horror,""Female Protagonist"",Space,Short}",Teen
856,Receiver,2012-06-17,2.82,,1,"{Linux,macOS,PC}","{Action,Shooter,Simulation,Indie}","{itch.io,Steam}","{Singleplayer,Atmospheric,First-Person,Sci-fi,Horror,FPS,Difficult,Stealth,Tactical,""Survival Horror"",Realistic,Roguelike,VR,""Walking Simulator"",Cyberpunk,Roguelite,""Procedural Generation"",""Perma Death"",Abstract,7dfps}",
857,Puzzle Agent,2010-06-29,3.16,70,2,"{""PlayStation 3"",iOS,macOS,PC}","{Adventure,Casual,Puzzle}","{""PlayStation Store"",Steam,GOG}","{Singleplayer,Atmospheric,2D,Horror,Funny,Comedy,""Point & Click"",Short,Mystery,Detective,Surreal,Touch-Friendly}",Everyone
873,Cuisine Royale,2018-06-14,2.61,,1,"{""PlayStation 4"",""Xbox One"",PC}","{Action,""Massively Multiplayer""}","{""PlayStation Store"",""Xbox Store"",Steam}","{Multiplayer,Co-op,""Open World"",cooperative,First-Person,Horror,FPS,Funny,Survival,Comedy,Violent,""Free to Play"",""Online multiplayer"",""Early Access"",Anime,Nudity,Memes,""World War II""}",
876,Far Cry 6,2021-10-06,3.34,75,14,"{PC,""Xbox One"",""PlayStation 4"",""Xbox Series S/X"",""PlayStation 5""}","{Action,Shooter,Adventure}","{Steam,""Epic Games"",""PlayStation Store"",""Xbox Store""}","{Singleplayer,Multiplayer,Atmospheric,Co-op,""Story Rich"",""Open World"",First-Person,""Partial Controller Support"",FPS,""Online Co-Op"",Exploration,Sandbox,""Female Protagonist"",Survival,Violent,Action-Adventure,""In-App Purchases"",""Character Customization"",Crafting,combat,3D,online,PvE,city,console,offline,Протагонистка,weapons,Modern,fighter,connect}",
889,FIFA 19,2018-09-27,3.31,80,0,"{""PlayStation 4"",""PlayStation 3"",""Xbox 360"",""Nintendo Switch"",""Xbox One"",PC}","{Simulation,Sports}","{""Nintendo Store"",""Xbox Store"",""PlayStation Store""}","{Singleplayer,Multiplayer,""Online PvP"",Football,Soccer,reality-based}",Everyone
