id,name,released,rating,metacritic,playtime,platforms,genres,stores,tags,esrb_rating
4903,Warpips,2021-04-28,2.67,,1,{PC},"{Action,Strategy,Indie}","{""Epic Games"",Steam,GOG}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",""Pixel Graphics"",Tactical,""Early Access"",War,3D,combat,RTS,""Base Building"",Stylized,2.5D,""Tower Defense"",""Resource Management"",""Real Time Tactics"",""Vehicular Combat"",Wargame,""Auto Battler"",Автобаттлер}",
4904,Starlink: Battle for Atlas,2018-10-15,3.59,74,3,"{""PlayStation 4"",""Nintendo Switch"",PC,""Xbox One""}","{Action,Adventure}","{Steam,""Nintendo Store"",""Xbox Store""}","{Singleplayer,""Steam Achievements"",steam-trading-cards,Co-op,""Partial Controller Support"",""Split Screen"",Space,role-playing,""In-App Purchases"",Other}",Everyone 10+
4905,Just Dance 2018,2017-09-17,3.83,,0,"{Wii,""PlayStation 4"",""Xbox One"",""Wii U"",""Nintendo Switch"",""Xbox 360""}","{Action,Family}","{""PlayStation Store"",""Nintendo Store"",""Xbox 360 Store"",""Xbox Store""}","{Multiplayer,Music,party,dance,party-games}",
4906,DD: Dark Arisen,2013-04-22,3.86,,0,"{""Xbox 360""}","{Action,Adventure}","{""Xbox 360 Store""}",{secrets},Mature
4907,Foreign Legion: Buckets of Blood,2009-08-03,2.89,,1,"{PC,macOS}","{Action,Indie}",{Steam},"{Singleplayer,""Steam Achievements"",""Steam Cloud"",""Third Person"",""Partial Controller Support""}",
4908,EvilQuest,2014-02-19,1.83,,4,{PC},"{Action,Adventure,RPG,Indie}",{Steam},"{Singleplayer,""Steam Achievements"",steam-trading-cards,RPG,""Partial Controller Support"",""Action RPG"",""Pixel Graphics"",Retro,""Villain Protagonist""}",
4909,Tribloos 2,2014-01-29,1.75,,4,{PC},"{Strategy,Casual,Indie}",{Steam},"{Singleplayer,""Steam Achievements"",steam-trading-cards}",
4910,Angelica Weaver: Catch Me When You Can,2012-09-05,2.29,,1,"{macOS,PC,iOS}","{Adventure,Casual}",{Steam},"{Singleplayer,""Female Protagonist"",""Point & Click"",""Hidden Object""}",
4911,Safety First!,2016-09-07,0,,3,"{""Nintendo Switch"",PC}","{Simulation,Sports,Casual,Indie}","{Steam,""Nintendo Store""}","{Singleplayer,""Steam Achievements"",""Full controller support"",steam-trading-cards,""Steam Leaderboards""}",
4912,CubeGun,2014-05-20,0,,1,{PC},"{Action,Indie}",{Steam},"{Singleplayer,""Steam Achievements"",Multiplayer,""Steam Cloud"",Co-op,""Steam Leaderboards"",Sandbox,""Free to Play"",stats,""Early Access"",""Includes level editor"",Crafting,Building}",
4913,The District,2015-03-30,1.44,,4,"{PC,Linux}","{Action,Adventure,Indie}",{Steam},"{Singleplayer,Multiplayer,steam-trading-cards,""Open World"",""Partial Controller Support"",FPS,Survival,""Early Access"",""Walking Simulator""}",
5634,iBomber Attack,2012-10-30,2.33,,1,"{Linux,macOS,Android,PC,iOS}","{Action,Adventure,Arcade,Casual,Indie}","{""App Store"",Steam,""Google Play""}","{Singleplayer,""Steam Cloud"",""Partial Controller Support""}",Teen
5635,Peekaboo,1969-12-31,2.53,,4,{PC},"{Action,RPG,Casual,Indie}",{Steam},"{Multiplayer,RPG,Co-op,cooperative,""Online Co-Op"",""Online multiplayer""}",
5636,Underworld Ascendant,2018-11-14,3.13,,2,"{PC,""Nintendo Switch"",""PlayStation 4"",""Xbox One""}","{Action,RPG,Indie}","{Steam,""Xbox Store"",""PlayStation Store""}","{Singleplayer,""Full controller support"",RPG,Sandbox,""Dungeon Crawler"",""Immersive Sim""}",
5637,Spider-Man: Homecoming - Virtual Reality Experience,2017-06-29,2.52,,1,"{PC,""PlayStation 4""}","{Action,Adventure}","{""PlayStation Store"",Steam}","{Singleplayer,VR}",
5638,b,2017-06-25,2.23,,1,{PC},"{Casual,Indie}",{Steam},"{Singleplayer,Multiplayer,Atmospheric,""Great Soundtrack"",""Story Rich"",""Open World"",""Partial Controller Support"",FPS,Difficult,""Female Protagonist"",""Free to Play"",Anime,""Family Friendly"",Cute,Memes}",
4914,GASP,2016-01-18,0,,1,{PC},"{Action,Strategy,Simulation,Casual,Indie}",{Steam},"{Singleplayer,""Steam Achievements"",Multiplayer,""Open World"",First-Person,Horror,FPS,Sandbox,Survival,""Free to Play"",Space,Nudity,Memes,Illuminati}",
4915,Grim Legends 3: The Dark City,2016-05-31,3.1,,4,"{macOS,""Xbox One"",""PlayStation 4"",Android,iOS,PC,Linux}","{Adventure,Casual,Puzzle}","{""PlayStation Store"",""App Store"",Steam,""Xbox Store"",""Google Play"",GOG}","{Singleplayer,""Steam Achievements"",""Steam Cloud"",steam-trading-cards,2D,Horror,""Point & Click"",""Hidden Object""}",Teen
4916,Revelations 2012,2012-04-22,1.88,,1,{PC},"{Action,Strategy,Indie}",{Steam},"{Singleplayer,""Steam Achievements"",Multiplayer,""Steam Cloud"",Co-op,cooperative,""Partial Controller Support"",FPS,stats,""Cross-Platform Multiplayer"",""Valve Anti-Cheat enabled""}",
